domain,source_term,source_language,target_scheme_uri,target_concept_uri,target_label,notes
waste_category,GFT,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/biowaste,Biowaste,Dutch abbreviation for groente-fruit-tuinafval
waste_category,Groente fruit en tuinafval,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/biowaste,Biowaste,Expanded Dutch label
waste_category,Restafval,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/residual-waste,Residual waste,Dutch residual waste term
waste_category,Tuinafval,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/waste-category,https://brit.bioresource-tools.net/vocab/soilcom/concept/waste-category/green-waste,Green waste,Dutch garden waste term
collection_system,Huis-aan-huis,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/collection-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/collection-system/door-to-door,Door to door,Dutch kerbside collection term
collection_system,Brengpunt,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/collection-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/collection-system/bring-point,Bring point,Dutch bring-point term
collection_system,Milieustraat,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/collection-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/collection-system/recycling-centre,Recycling centre,Dutch recycling centre term
sorting_method,Gescheiden inzameling,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/sorting-method,https://brit.bioresource-tools.net/vocab/soilcom/concept/sorting-method/separate-bins,Separate bins,Dutch source-separated collection
fee_system,DIFTAR,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/fee-system,https://brit.bioresource-tools.net/vocab/soilcom/concept/fee-system/pay-as-you-throw,Pay as you throw (PAYT),Dutch pay-as-you-throw abbreviation
connection_type,Verplicht,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/connection-type,https://brit.bioresource-tools.net/vocab/soilcom/concept/connection-type/mandatory,mandatory,Dutch mandatory participation
connection_type,Vrijwillig,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/connection-type,https://brit.bioresource-tools.net/vocab/soilcom/concept/connection-type/voluntary,voluntary,Dutch voluntary participation
required_bin_capacity_reference,Per inwoner,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/required-bin-capacity-reference,https://brit.bioresource-tools.net/vocab/soilcom/concept/required-bin-capacity-reference/person,person,Dutch per-person capacity reference
required_bin_capacity_reference,Per huishouden,nl,https://brit.bioresource-tools.net/vocab/soilcom/scheme/required-bin-capacity-reference,https://brit.bioresource-tools.net/vocab/soilcom/concept/required-bin-capacity-reference/household,household,Dutch per-household capacity reference
